"cohort_start_date","dose","vaccination_campaign","n_dose_day"
2021-07-29,1,"None",1537
2021-07-29,2,"None",8407
2021-07-29,3,"None",12
2021-07-30,1,"None",1355
2021-07-30,2,"None",6960
2021-07-30,3,"None",9
2021-07-31,1,"None",1607
2021-07-31,2,"None",7100
2021-07-31,3,"None",5
2021-08-01,1,"None",999
2021-08-01,2,"None",5231
2021-08-01,3,"None",9
2021-08-02,1,"None",829
2021-08-02,2,"None",8649
2021-08-02,3,"None",9
2021-08-03,1,"None",1019
2021-08-03,2,"None",8657
2021-08-03,3,"None",9
2021-08-04,1,"None",1131
2021-08-04,2,"None",8120
2021-08-04,3,"None",18
2021-08-04,4,"None",5
2021-08-05,1,"None",1051
2021-08-05,2,"None",6990
2021-08-05,3,"None",10
2021-08-06,1,"None",1430
2021-08-06,2,"None",6848
2021-08-06,3,"None",9
2021-08-07,1,"None",1577
2021-08-07,2,"None",6544
2021-08-07,3,"None",5
2021-08-08,1,"None",1441
2021-08-08,2,"None",5097
2021-08-08,3,"None",5
2021-08-09,1,"None",1608
2021-08-09,2,"None",5829
2021-08-09,3,"None",6
2021-08-10,1,"None",2607
2021-08-10,2,"None",7304
2021-08-10,3,"None",5
2021-08-11,1,"None",2306
2021-08-11,2,"None",7551
2021-08-11,3,"None",6
2021-08-12,1,"None",2699
2021-08-12,2,"None",7954
2021-08-12,3,"None",5
2021-08-13,1,"None",2465
2021-08-13,2,"None",7584
2021-08-13,3,"None",6
2021-08-14,1,"None",2339
2021-08-14,2,"None",7413
2021-08-14,3,"None",5
2021-08-15,1,"None",1595
2021-08-15,2,"None",4946
2021-08-15,3,"None",5
2021-08-16,1,"None",2037
2021-08-16,2,"None",6096
2021-08-16,3,"None",10
2021-08-17,1,"None",2283
2021-08-17,2,"None",6928
2021-08-17,3,"None",7
2021-08-18,1,"None",2368
2021-08-18,2,"None",7021
2021-08-18,3,"None",5
2021-08-19,1,"None",2590
2021-08-19,2,"None",6935
2021-08-19,3,"None",8
2021-08-20,1,"None",2713
2021-08-20,2,"None",6562
2021-08-20,3,"None",5
2021-08-21,1,"None",3206
2021-08-21,2,"None",6651
2021-08-21,3,"None",5
2021-08-22,1,"None",2264
2021-08-22,2,"None",5104
2021-08-22,3,"None",5
2021-08-23,1,"None",2213
2021-08-23,2,"None",4922
2021-08-23,3,"None",13
2021-08-24,1,"None",2369
2021-08-24,2,"None",5530
2021-08-24,3,"None",6
2021-08-25,1,"None",1976
2021-08-25,2,"None",5031
2021-08-25,3,"None",9
2021-08-26,1,"None",1956
2021-08-26,2,"None",4834
2021-08-26,3,"None",7
2021-08-27,1,"None",1677
