"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","campaign","model"
"133","age_group55-64",0.306655296595476,0.0284332802665335,-41.5720931082608,0,0.289981015908523,0.324173479379139,"s_2024","fit_agr_sex_imd"
"134","imdQ1",1.37905612416902,0.0136527704907781,23.5409580333843,1.5537932804925e-122,1.34266726942444,1.4164820571295,"s_2024","fit_agr_sex_imd"
"135","imdQ2",0.974304579220013,0.0124119511978478,-2.09727819072661,0.0359689563198477,0.950893178600324,0.998302059554618,"s_2024","fit_agr_sex_imd"
"136","imdQ4",1.04964623650451,0.0104199048909684,4.65006065719326,3.31837418740466e-06,1.02842836504546,1.07130459646797,"s_2024","fit_agr_sex_imd"
"137","imdQ5",0.918899083650361,0.0128643889069418,-6.57465926381508,4.87647088689949e-11,0.896023649506345,0.942366750546888,"s_2024","fit_agr_sex_imd"
"138","sexMale",1.23690168815246,0.0080807370899139,26.3106709026092,1.44777389703185e-152,1.21746856484514,1.2566503349756,"s_2024","fit_agr_sex_imd"
"139","(Intercept)",1.38766788189437,0.00605733831094035,54.0872142946364,0,1.37129496635889,1.40424517377516,"s_2024","fit_agr_sex_immuno"
"140","age_group65-74",0.434752162801565,0.0335219536378005,-24.8487650792558,2.66658126401743e-136,0.407075010298486,0.46424114989421,"s_2024","fit_agr_sex_immuno"
"141","age_group85-94",1.05376550810581,0.00968024471777592,5.40998175315788,6.30311709121356e-08,1.03396823775007,1.07395710443476,"s_2024","fit_agr_sex_immuno"
"142","age_group>=95",0.782273214306806,0.029315204464286,-8.37624110197202,5.46449111001453e-17,0.738617421623709,0.828569574026789,"s_2024","fit_agr_sex_immuno"
"143","age_group<=34",0.179898005730291,0.0777660783426834,-22.0580137262794,8.00201303097008e-108,0.154160387555273,0.209131897014515,"s_2024","fit_agr_sex_immuno"
"144","age_group35-44",0.18436103241502,0.0669585808808457,-25.2523170131062,1.06810323945854e-140,0.161465584364531,0.209944662577699,"s_2024","fit_agr_sex_immuno"
"145","age_group45-54",0.256702306216057,0.0473965310807812,-28.6906694656014,4.98817520156914e-181,0.233831438393844,0.281578100933824,"s_2024","fit_agr_sex_immuno"
