"cohort_start_date","dose","vaccination_campaign","n_dose_day"
2023-12-02,3,"a_2023",5
2023-12-02,4,"a_2023",35
2023-12-02,5,"a_2023",1099
2023-12-02,6,"a_2023",191
2023-12-02,7,"a_2023",203
2023-12-02,8,"a_2023",7
2023-12-03,3,"a_2023",5
2023-12-03,4,"a_2023",24
2023-12-03,5,"a_2023",798
2023-12-03,6,"a_2023",58
2023-12-03,7,"a_2023",99
2023-12-03,8,"a_2023",5
2023-12-04,3,"a_2023",5
2023-12-04,4,"a_2023",52
2023-12-04,5,"a_2023",1574
2023-12-04,6,"a_2023",162
2023-12-04,7,"a_2023",403
2023-12-04,8,"a_2023",23
2023-12-05,3,"a_2023",7
2023-12-05,4,"a_2023",53
2023-12-05,5,"a_2023",2061
2023-12-05,6,"a_2023",180
2023-12-05,7,"a_2023",336
2023-12-05,8,"a_2023",26
2023-12-06,3,"a_2023",5
2023-12-06,4,"a_2023",39
2023-12-06,5,"a_2023",1720
2023-12-06,6,"a_2023",157
2023-12-06,7,"a_2023",270
2023-12-06,8,"a_2023",13
2023-12-07,3,"a_2023",7
2023-12-07,4,"a_2023",55
2023-12-07,5,"a_2023",1846
2023-12-07,6,"a_2023",177
2023-12-07,7,"a_2023",294
2023-12-07,8,"a_2023",12
2023-12-08,3,"a_2023",6
2023-12-08,4,"a_2023",58
2023-12-08,5,"a_2023",1852
2023-12-08,6,"a_2023",114
2023-12-08,7,"a_2023",234
2023-12-08,8,"a_2023",12
2023-12-09,3,"a_2023",5
2023-12-09,4,"a_2023",38
2023-12-09,5,"a_2023",946
2023-12-09,6,"a_2023",99
2023-12-09,7,"a_2023",393
2023-12-09,8,"a_2023",12
2023-12-10,3,"a_2023",5
2023-12-10,4,"a_2023",24
2023-12-10,5,"a_2023",448
2023-12-10,6,"a_2023",57
2023-12-10,7,"a_2023",124
2023-12-10,8,"a_2023",5
2023-12-11,3,"a_2023",5
2023-12-11,4,"a_2023",47
2023-12-11,5,"a_2023",963
2023-12-11,6,"a_2023",172
2023-12-11,7,"a_2023",355
2023-12-11,8,"a_2023",11
2023-12-12,3,"a_2023",5
2023-12-12,4,"a_2023",42
2023-12-12,5,"a_2023",1042
2023-12-12,6,"a_2023",138
2023-12-12,7,"a_2023",386
2023-12-12,8,"a_2023",10
2023-12-13,3,"a_2023",5
2023-12-13,4,"a_2023",40
2023-12-13,5,"a_2023",801
2023-12-13,6,"a_2023",96
2023-12-13,7,"a_2023",186
2023-12-13,8,"a_2023",13
2023-12-14,3,"a_2023",8
2023-12-14,4,"a_2023",20
